text,label
I'm happy with how it turned out.,3
Disgusting and completely awful.,0
"Superb, outstanding work!",4
"Nothing special, just average.",2
I didn't like it.,1
It made me feel terrible.,0
This is the worst thing ever.,0
"Just fine, nothing more.",2
Absolutely amazing and fantastic!,4
I liked it a lot.,3
Disgusting and completely awful.,0
"Nothing special, just average.",2
Wasn't worth the time.,1
"Overall, it was enjoyable.",3
I liked it a lot.,3
I'm happy with how it turned out.,3
"Just fine, nothing more.",2
It made me smile.,3
I'm not happy with this.,1
It made me feel terrible.,0
It neither impressed nor disappointed.,2
It made me feel terrible.,0
"Just fine, nothing more.",2
"Good job, well done.",3
Pretty disappointing overall.,1
I'm not happy with this.,1
This is the worst thing ever.,0
"Just fine, nothing more.",2
It neither impressed nor disappointed.,2
It made me smile.,3
I loved every second of it.,4
This is the worst thing ever.,0
I'm happy with how it turned out.,3
It filled me with joy!,4
"Good job, well done.",3
I can't stand this anymore.,0
Absolutely amazing and fantastic!,4
Disgusting and completely awful.,0
"Good job, well done.",3
Could have been better.,1
Neutral feelings about it.,2
"Superb, outstanding work!",4
It's not good.,1
Neutral feelings about it.,2
I don't have much to say.,2
"Total disaster, ruined everything.",0
I didn't like it.,1
Absolutely amazing and fantastic!,4
It's not good.,1
I didn't like it.,1
Disgusting and completely awful.,0
It neither impressed nor disappointed.,2
"Just fine, nothing more.",2
Absolutely amazing and fantastic!,4
I absolutely hate this.,0
It's not good.,1
It neither impressed nor disappointed.,2
I absolutely hate this.,0
"Just fine, nothing more.",2
Wasn't worth the time.,1
"Nothing special, just average.",2
"Nothing special, just average.",2
It neither impressed nor disappointed.,2
I'm beyond thrilled with this!,4
"Superb, outstanding work!",4
It's not good.,1
I absolutely hate this.,0
This is the worst thing ever.,0
"Just fine, nothing more.",2
"Total disaster, ruined everything.",0
Neutral feelings about it.,2
I don't have much to say.,2
"Good job, well done.",3
Neutral feelings about it.,2
"Overall, it was enjoyable.",3
Pretty good experience!,3
"Good job, well done.",3
I don't have much to say.,2
I liked it a lot.,3
"Superb, outstanding work!",4
It made me smile.,3
I didn't like it.,1
This is the worst thing ever.,0
I didn't like it.,1
It made me smile.,3
It made me feel terrible.,0
This is the worst thing ever.,0
I'm happy with how it turned out.,3
"Overall, it was enjoyable.",3
"Nothing special, just average.",2
Wasn't worth the time.,1
This is the worst thing ever.,0
"Superb, outstanding work!",4
I'm not happy with this.,1
I'm happy with how it turned out.,3
It made me feel terrible.,0
I'm happy with how it turned out.,3
I'm happy with how it turned out.,3
Pretty disappointing overall.,1
I liked it a lot.,3
Could have been better.,1
Pretty good experience!,3
"Good job, well done.",3
I absolutely hate this.,0
Pretty good experience!,3
Pretty good experience!,3
"Just fine, nothing more.",2
Wasn't worth the time.,1
Wasn't worth the time.,1
I don't have much to say.,2
"Total disaster, ruined everything.",0
"Total disaster, ruined everything.",0
Could have been better.,1
I loved every second of it.,4
I'm not happy with this.,1
Disgusting and completely awful.,0
This is the worst thing ever.,0
Disgusting and completely awful.,0
"Superb, outstanding work!",4
It was okay.,2
"Good job, well done.",3
"Nothing special, just average.",2
It filled me with joy!,4
"Nothing special, just average.",2
"Just fine, nothing more.",2
Neutral feelings about it.,2
I'm happy with how it turned out.,3
"Nothing special, just average.",2
Best thing ever!,4
Neutral feelings about it.,2
"Overall, it was enjoyable.",3
It made me smile.,3
This is the worst thing ever.,0
It was okay.,2
"Good job, well done.",3
Pretty disappointing overall.,1
"Just fine, nothing more.",2
"Just fine, nothing more.",2
Disgusting and completely awful.,0
Neutral feelings about it.,2
I liked it a lot.,3
Wasn't worth the time.,1
I don't have much to say.,2
Best thing ever!,4
I don't have much to say.,2
Could have been better.,1
It was okay.,2
It was okay.,2
Pretty good experience!,3
I can't stand this anymore.,0
Pretty good experience!,3
I'm happy with how it turned out.,3
It filled me with joy!,4
This is the worst thing ever.,0
This is the worst thing ever.,0
I can't stand this anymore.,0
It neither impressed nor disappointed.,2
I'm beyond thrilled with this!,4
I don't have much to say.,2
I'm happy with how it turned out.,3
Pretty disappointing overall.,1
I don't have much to say.,2
It was okay.,2
I liked it a lot.,3
It filled me with joy!,4
I don't have much to say.,2
I don't have much to say.,2
I liked it a lot.,3
I didn't like it.,1
"Nothing special, just average.",2
"Nothing special, just average.",2
"Nothing special, just average.",2
I'm not happy with this.,1
Pretty disappointing overall.,1
Pretty disappointing overall.,1
"Nothing special, just average.",2
It was okay.,2
"Total disaster, ruined everything.",0
I absolutely hate this.,0
I liked it a lot.,3
"Just fine, nothing more.",2
It neither impressed nor disappointed.,2
I can't stand this anymore.,0
I'm beyond thrilled with this!,4
I liked it a lot.,3
I absolutely hate this.,0
I'm beyond thrilled with this!,4
Best thing ever!,4
It's not good.,1
"Nothing special, just average.",2
"Just fine, nothing more.",2
"Total disaster, ruined everything.",0
Disgusting and completely awful.,0
It was okay.,2
It's not good.,1
I don't have much to say.,2
I'm happy with how it turned out.,3
"Just fine, nothing more.",2
It made me smile.,3
"Overall, it was enjoyable.",3
I don't have much to say.,2
"Good job, well done.",3
It made me feel terrible.,0
I don't have much to say.,2
Wasn't worth the time.,1
Best thing ever!,4
Pretty disappointing overall.,1
Neutral feelings about it.,2
Pretty disappointing overall.,1
It was okay.,2
"Superb, outstanding work!",4
"Superb, outstanding work!",4
It's not good.,1
I didn't like it.,1
I liked it a lot.,3
It's not good.,1
I'm happy with how it turned out.,3
I don't have much to say.,2
I'm happy with how it turned out.,3
"Total disaster, ruined everything.",0
It was okay.,2
Neutral feelings about it.,2
I loved every second of it.,4
Pretty disappointing overall.,1
I absolutely hate this.,0
I'm not happy with this.,1
I can't stand this anymore.,0
Neutral feelings about it.,2
"Good job, well done.",3
I didn't like it.,1
I loved every second of it.,4
"Good job, well done.",3
"Just fine, nothing more.",2
Pretty good experience!,3
"Just fine, nothing more.",2
I didn't like it.,1
I'm happy with how it turned out.,3
Wasn't worth the time.,1
It's not good.,1
It made me smile.,3
It made me feel terrible.,0
I didn't like it.,1
"Overall, it was enjoyable.",3
Disgusting and completely awful.,0
It's not good.,1
I absolutely hate this.,0
I'm not happy with this.,1
"Just fine, nothing more.",2
This is the worst thing ever.,0
Wasn't worth the time.,1
I'm beyond thrilled with this!,4
It neither impressed nor disappointed.,2
Wasn't worth the time.,1
Could have been better.,1
"Just fine, nothing more.",2
Best thing ever!,4
Disgusting and completely awful.,0
Neutral feelings about it.,2
It was okay.,2
I loved every second of it.,4
"Nothing special, just average.",2
I didn't like it.,1
It made me feel terrible.,0
"Total disaster, ruined everything.",0
It was okay.,2
I don't have much to say.,2
"Just fine, nothing more.",2
"Good job, well done.",3
Wasn't worth the time.,1
"Overall, it was enjoyable.",3
It made me smile.,3
Wasn't worth the time.,1
It made me feel terrible.,0
"Good job, well done.",3
Could have been better.,1
It neither impressed nor disappointed.,2
Neutral feelings about it.,2
It's not good.,1
Neutral feelings about it.,2
"Good job, well done.",3
I'm not happy with this.,1
I don't have much to say.,2
"Overall, it was enjoyable.",3
Wasn't worth the time.,1
Neutral feelings about it.,2
"Total disaster, ruined everything.",0
It neither impressed nor disappointed.,2
I don't have much to say.,2
I don't have much to say.,2
It filled me with joy!,4
Wasn't worth the time.,1
Neutral feelings about it.,2
It was okay.,2
It's not good.,1
"Good job, well done.",3
Absolutely amazing and fantastic!,4
It neither impressed nor disappointed.,2
"Superb, outstanding work!",4
Absolutely amazing and fantastic!,4
Neutral feelings about it.,2
"Just fine, nothing more.",2
"Just fine, nothing more.",2
I can't stand this anymore.,0
"Overall, it was enjoyable.",3
It neither impressed nor disappointed.,2
Pretty disappointing overall.,1
"Nothing special, just average.",2
I absolutely hate this.,0
It neither impressed nor disappointed.,2
"Good job, well done.",3
It neither impressed nor disappointed.,2
I didn't like it.,1
"Just fine, nothing more.",2
It filled me with joy!,4
I liked it a lot.,3
I don't have much to say.,2
"Overall, it was enjoyable.",3
"Nothing special, just average.",2
It was okay.,2
I'm not happy with this.,1
I don't have much to say.,2
"Total disaster, ruined everything.",0
I'm beyond thrilled with this!,4
"Superb, outstanding work!",4
It was okay.,2
I'm not happy with this.,1
I'm happy with how it turned out.,3
I'm not happy with this.,1
"Superb, outstanding work!",4
Best thing ever!,4
Absolutely amazing and fantastic!,4
Best thing ever!,4
"Just fine, nothing more.",2
It's not good.,1
I liked it a lot.,3
I loved every second of it.,4
"Good job, well done.",3
It neither impressed nor disappointed.,2
I'm not happy with this.,1
I don't have much to say.,2
"Good job, well done.",3
I'm not happy with this.,1
I don't have much to say.,2
"Just fine, nothing more.",2
I don't have much to say.,2
Pretty disappointing overall.,1
It neither impressed nor disappointed.,2
"Nothing special, just average.",2
I can't stand this anymore.,0
I absolutely hate this.,0
I don't have much to say.,2
Pretty disappointing overall.,1
It filled me with joy!,4
I don't have much to say.,2
"Just fine, nothing more.",2
It made me feel terrible.,0
I can't stand this anymore.,0
It was okay.,2
"Nothing special, just average.",2
Best thing ever!,4
Could have been better.,1
It neither impressed nor disappointed.,2
"Overall, it was enjoyable.",3
Wasn't worth the time.,1
Could have been better.,1
Absolutely amazing and fantastic!,4
I'm not happy with this.,1
It was okay.,2
"Nothing special, just average.",2
It made me feel terrible.,0
Could have been better.,1
It filled me with joy!,4
I'm happy with how it turned out.,3
"Good job, well done.",3
I loved every second of it.,4
It made me feel terrible.,0
Neutral feelings about it.,2
Neutral feelings about it.,2
It made me smile.,3
I loved every second of it.,4
"Good job, well done.",3
I don't have much to say.,2
"Superb, outstanding work!",4
Neutral feelings about it.,2
It neither impressed nor disappointed.,2
This is the worst thing ever.,0
I loved every second of it.,4
"Just fine, nothing more.",2
It was okay.,2
This is the worst thing ever.,0
It made me feel terrible.,0
Wasn't worth the time.,1
It's not good.,1
I don't have much to say.,2
Absolutely amazing and fantastic!,4
"Superb, outstanding work!",4
Neutral feelings about it.,2
"Nothing special, just average.",2
"Overall, it was enjoyable.",3
"Total disaster, ruined everything.",0
It made me smile.,3
It made me smile.,3
I loved every second of it.,4
I don't have much to say.,2
"Just fine, nothing more.",2
I'm beyond thrilled with this!,4
Disgusting and completely awful.,0
"Just fine, nothing more.",2
Neutral feelings about it.,2
Could have been better.,1
I'm happy with how it turned out.,3
"Overall, it was enjoyable.",3
I'm not happy with this.,1
It made me feel terrible.,0
I liked it a lot.,3
Could have been better.,1
Pretty disappointing overall.,1
"Superb, outstanding work!",4
It neither impressed nor disappointed.,2
Pretty good experience!,3
"Total disaster, ruined everything.",0
It made me feel terrible.,0
"Just fine, nothing more.",2
Pretty good experience!,3
"Good job, well done.",3
I absolutely hate this.,0
It made me feel terrible.,0
It neither impressed nor disappointed.,2
Neutral feelings about it.,2
It's not good.,1
"Just fine, nothing more.",2
"Good job, well done.",3
Could have been better.,1
I'm happy with how it turned out.,3
Pretty good experience!,3
Best thing ever!,4
I absolutely hate this.,0
Could have been better.,1
Wasn't worth the time.,1
I'm happy with how it turned out.,3
I can't stand this anymore.,0
I absolutely hate this.,0
I'm happy with how it turned out.,3
I'm not happy with this.,1
It made me feel terrible.,0
Could have been better.,1
It's not good.,1
I don't have much to say.,2
It was okay.,2
I loved every second of it.,4
I loved every second of it.,4
"Nothing special, just average.",2
I'm not happy with this.,1
I'm not happy with this.,1
It was okay.,2
It was okay.,2
Wasn't worth the time.,1
Pretty good experience!,3
Pretty good experience!,3
Wasn't worth the time.,1
It neither impressed nor disappointed.,2
Disgusting and completely awful.,0
